Date, Time, AB, H, EBH, HR, HHA, AVG, SLG, LPH, Points, LD %, FB %, GB %, AvgV, MaxV, Dist, Tag
5/11/2017, 3:49 PM, 58, 24, 4, 0, .328, .414, .483, .845, 2680, 52, 34, 14, 81.8, 90.6, 315, 
4/28/2017, 3:03 PM, 8, 1, 0, 0, .250, .125, .125, .625, 307, 38, 25, 38, 65.9, 87.3, 288, 
4/21/2017, 4:08 PM, 14, 6, 1, 0, .071, .429, .500, .357, 543, 29, 50, 21, 78.8, 86.8, 323, 
4/19/2017, 3:15 PM, 69, 29, 6, 0, .188, .420, .507, .580, 2828, 39, 35, 26, 80.8, 91.0, 339, 
4/6/2017, 2:41 PM, 68, 33, 8, 0, .441, .485, .603, .853, 3126, 41, 29, 29, 81.4, 93.3, 339, 
4/5/2017, 3:14 PM, 88, 41, 7, 0, .273, .466, .545, .625, 3415, 35, 39, 26, 76.4, 91.6, 342, 
3/16/2017, 5:46 PM, 9, 5, 1, 0, .333, .556, .667, 1.000, 443, 67, 11, 22, 80.0, 93.0, 298, 
3/16/2017, 1:26 PM, 83, 45, 3, 0, .398, .542, .578, .892, 4023, 49, 23, 28, 82.2, 92.3, 339, 
3/13/2017, 7:48 PM, 66, 36, 9, 0, .273, .545, .682, .803, 3361, 53, 26, 21, 82.6, 92.9, 355, 
3/10/2017, 3:48 PM, 3, 2, 0, 0, .333, .667, .667, .667, 96, 33, 0, 67, 81.8, 92.4, 204, 
3/9/2017, 1:52 PM, 24, 10, 3, 0, .458, .417, .583, .833, 1070, 38, 25, 38, 83.1, 93.2, 356, 
3/9/2017, 1:33 PM, 5, 4, 2, 0, .800, .800, 1.400, 1.600, 422, 80, 20, 0, 91.3, 95.8, 341, 
3/9/2017, 1:11 PM, 36, 21, 5, 0, .611, .583, .750, 1.194, 2006, 58, 17, 25, 84.3, 93.6, 346, 
3/8/2017, 6:32 PM, 17, 9, 1, 0, .471, .529, .588, .647, 646, 18, 29, 53, 80.4, 91.8, 296, 
3/7/2017, 9:29 PM, 14, 10, 4, 0, .643, .714, 1.071, 1.214, 791, 57, 21, 21, 84.6, 92.7, 344, 
3/5/2017, 9:34 AM, 1, 0, 0, 0, 1.000, .000, .000, 2.000, 62, 100, 0, 0, 83.9, 83.9, 289, 
3/4/2017, 7:19 AM, 3, 0, 0, 0, .000, .000, .000, .000, 12, 0, 33, 67, 62.9, 81.3, 188, 
3/3/2017, 4:30 PM, 1, 1, 0, 0, 1.000, 1.000, 1.000, 2.000, 63, 100, 0, 0, 87.1, 87.1, 189, 
3/2/2017, 1:33 PM, 56, 35, 10, 0, .411, .625, .804, 1.036, 2727, 62, 20, 18, 78.9, 91.1, 333, 
3/1/2017, 9:27 PM, 30, 17, 3, 0, .900, .567, .667, 1.500, 1759, 60, 30, 10, 84.1, 89.7, 343, 
2/26/2017, 5:43 PM, 1, 0, 0, 0, .000, .000, .000, 1.000, 11, 100, 0, 0, 63.8, 63.8, 159, 
2/26/2017, 5:04 PM, 1, 0, 0, 0, .000, .000, .000, .000, 0, 0, 100, 0, 66.6, 66.6, 173, 
2/26/2017, 4:04 PM, 1, 0, 0, 0, .000, .000, .000, .000, 0, 0, 100, 0, 64.8, 64.8, 207, 
2/25/2017, 11:21 AM, 8, 5, 2, 0, .875, .625, .875, 1.375, 478, 50, 12, 38, 85.4, 90.0, 323, 
