Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"September 30, 2018 / 10:41am",Demarini Wood Composite,,,,58.2,,,6,,,-38,2.68,0.17,20,65
"September 30, 2018 / 10:40am",Demarini Wood Composite,,,,59.3,,,10,,,-40,3.17,0.15,17.7,67
"September 30, 2018 / 10:40am",Demarini Wood Composite,,,,64.4,,,11,,,-34,4.02,0.14,17,76
"September 30, 2018 / 10:40am",Demarini Wood Composite,,,,58.7,,,-5,,,-39,3.55,0.13,19.3,74
"September 30, 2018 / 10:39am",Demarini Wood Composite,,,,60.1,,,-1,,,-49,3.26,0.15,19.1,63
"September 30, 2018 / 10:39am",Demarini Wood Composite,,,,58.1,,,6,,,-40,3.08,0.14,18.9,62
"September 30, 2018 / 10:39am",Demarini Wood Composite,,,,59.6,,,6,,,-44,3.2,0.15,17.5,71
"September 30, 2018 / 10:39am",Demarini Wood Composite,,,,55.1,,,-11,,,-51,2.9,0.14,19.2,74
"September 30, 2018 / 10:38am",Axe Avenge 2017,,,,64.4,,,8,,,-14,4.26,0.12,15.9,74
"September 30, 2018 / 10:38am",Axe Avenge 2017,,,,76.1,,,14,,,-23,5.86,0.13,17.2,73
"September 30, 2018 / 10:38am",Axe Avenge 2017,,,,68.8,,,8,,,-24,4.71,0.13,17,73
