Date,Equipment,Plane Score,Connection Score,Rotation Score,Bat Speed (mph),Rotational Acceleration (g),On Plane Efficiency (%),Attack Angle (deg),Early Connection (deg),Connection at Impact (deg),Vertical Bat Angle (deg),Power (kW),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor
"October 16, 2018 / 4:28pm",Axe Avenge 2017,,,,62,,,2,,,-31,3.77,0.13,16.6,71
"October 16, 2018 / 4:28pm",Axe Avenge 2017,,,,61.2,,,1,,,-32,3.68,0.13,18,70
"October 16, 2018 / 4:27pm",Axe Avenge 2017,,,,68,,,17,,,-25,4.09,0.14,17.3,73
"October 16, 2018 / 4:26pm",Axe Avenge 2017,,,,62.4,,,1,,,-11,3.14,0.16,15.9,53
"October 16, 2018 / 4:25pm",Axe Avenge 2017,,,,58.9,,,10,,,-17,2.57,0.17,16.9,54
"October 16, 2018 / 4:25pm",Axe Avenge 2017,,,,58.7,,,1,,,-16,2.65,0.17,15.9,50
"October 16, 2018 / 4:25pm",Axe Avenge 2017,,,,62.3,,,11,,,-24,3.02,0.16,16.5,59
"October 16, 2018 / 4:19pm",Axe Avenge 2017,,,,63.1,,,9,,,-23,3.06,0.17,16.4,60
"October 16, 2018 / 4:19pm",Axe Avenge 2017,,,,61.7,,,2,,,-20,2.93,0.17,15.9,54
"October 16, 2018 / 4:19pm",Axe Avenge 2017,,,,65.4,,,7,,,-22,3.21,0.17,16.2,62
"October 16, 2018 / 4:18pm",Axe Avenge 2017,,,,64.7,,,10,,,-37,3.38,0.16,15.9,69
"October 16, 2018 / 4:18pm",Axe Avenge 2017,,,,68.9,,,9,,,-27,4.14,0.15,16.2,76
"October 16, 2018 / 4:18pm",Axe Avenge 2017,,,,60.6,,,10,,,-35,3.21,0.15,15.6,77
"October 16, 2018 / 4:16pm",Axe Avenge 2017,,,,64.7,,,4,,,-25,3.29,0.16,16.4,61
"October 16, 2018 / 4:15pm",Axe Avenge 2017,,,,51.6,,,0,,,-1,2.93,0.12,15.5,57
"October 16, 2018 / 4:15pm",Axe Avenge 2017,,,,66.8,,,-1,,,-25,3.47,0.16,15.9,60
"October 16, 2018 / 4:15pm",Axe Avenge 2017,,,,66.1,,,6,,,-24,3.24,0.17,15,64
"October 16, 2018 / 4:14pm",Axe Avenge 2017,,,,64.4,,,11,,,-29,3.53,0.15,15.7,71
"October 16, 2018 / 4:14pm",Axe Avenge 2017,,,,70.4,,,13,,,-25,4.51,0.14,16.5,73
"October 16, 2018 / 4:14pm",Axe Avenge 2017,,,,65.3,,,14,,,-31,3.72,0.15,16.4,73
"October 16, 2018 / 4:14pm",Axe Avenge 2017,,,,60.9,,,13,,,-38,3.37,0.14,16.6,71
"October 15, 2018 / 4:35pm",Axe Avenge 2017,,,,61.5,,,6,,,-29,3.44,0.14,15.8,80
"October 15, 2018 / 4:35pm",Axe Avenge 2017,,,,63.9,,,11,,,-23,3.52,0.15,14.1,76
"October 15, 2018 / 4:35pm",Axe Avenge 2017,,,,59.4,,,12,,,-17,3.3,0.14,15.3,78
"October 15, 2018 / 4:33pm",Axe Avenge 2017,,,,60.5,,,16,,,-17,3.15,0.15,14.4,59
"October 15, 2018 / 4:33pm",Axe Avenge 2017,,,,64.8,,,11,,,-26,3.88,0.14,14.8,85
"October 15, 2018 / 4:32pm",Axe Avenge 2017,,,,61.8,,,14,,,-32,3.34,0.15,12.3,69
"October 14, 2018 / 4:59pm",Axe Avenge 2017,,,,69.1,,,23,,,-20,4.23,0.14,15.1,67
"October 14, 2018 / 4:59pm",Axe Avenge 2017,,,,62.9,,,20,,,-25,3.5,0.14,14.6,59
"October 14, 2018 / 4:59pm",Axe Avenge 2017,,,,67.9,,,20,,,-30,3.92,0.15,15.9,70
"October 14, 2018 / 4:59pm",Axe Avenge 2017,,,,64.1,,,15,,,-44,3.23,0.16,15.7,70
"October 14, 2018 / 4:58pm",Axe Avenge 2017,,,,75.2,,,21,,,-16,5.01,0.14,15.9,63
"October 14, 2018 / 4:58pm",Axe Avenge 2017,,,,68.9,,,18,,,-18,3.98,0.15,15.6,70
"October 14, 2018 / 4:58pm",Axe Avenge 2017,,,,65.7,,,23,,,-23,3.67,0.15,15,60
"October 14, 2018 / 4:57pm",Axe Avenge 2017,,,,69.9,,,16,,,-26,4.26,0.15,15.7,70
"October 14, 2018 / 4:57pm",Axe Avenge 2017,,,,66.6,,,11,,,-37,3.72,0.15,14.6,75
"October 14, 2018 / 4:57pm",Axe Avenge 2017,,,,66.9,,,15,,,-21,4.13,0.14,14.8,83
"October 14, 2018 / 4:56pm",Axe Avenge 2017,,,,69.8,,,21,,,-21,4.14,0.15,15.1,66
"October 14, 2018 / 4:56pm",Axe Avenge 2017,,,,63.1,,,17,,,-20,3.38,0.15,14.3,66
"October 14, 2018 / 4:56pm",Axe Avenge 2017,,,,59.9,,,20,,,-29,2.97,0.15,13,59
"October 14, 2018 / 4:56pm",Axe Avenge 2017,,,,69.8,,,6,,,-27,4.57,0.14,14.4,77
"October 14, 2018 / 4:51pm",Axe Avenge 2017,,,,61.3,,,24,,,-18,3.19,0.15,14.5,53
"October 14, 2018 / 4:51pm",Axe Avenge 2017,,,,66.1,,,20,,,-21,3.52,0.16,13.6,63
"October 14, 2018 / 4:50pm",Axe Avenge 2017,,,,68.4,,,18,,,-30,3.82,0.16,15.2,70
"October 14, 2018 / 4:50pm",Axe Avenge 2017,,,,71.4,,,20,,,-20,4.27,0.15,14.2,71
"October 14, 2018 / 4:50pm",Axe Avenge 2017,,,,67.3,,,26,,,-26,4.07,0.14,15.7,69
"October 14, 2018 / 4:50pm",Axe Avenge 2017,,,,67.6,,,16,,,-22,3.89,0.15,15.3,77
"October 14, 2018 / 4:45pm",Axe Avenge 2017,,,,60,,,20,,,-34,2.64,0.17,13.6,55
"October 14, 2018 / 4:45pm",Axe Avenge 2017,,,,67.3,,,30,,,-24,3.65,0.16,14.4,62
"October 14, 2018 / 4:44pm",Axe Avenge 2017,,,,68.7,,,26,,,-21,4.01,0.15,15,71
"October 14, 2018 / 4:44pm",Axe Avenge 2017,,,,67.6,,,19,,,-29,3.69,0.16,15.7,67
"October 14, 2018 / 4:40pm",Axe Avenge 2017,,,,67.6,,,27,,,-24,3.94,0.15,14,64
"October 14, 2018 / 4:40pm",Axe Avenge 2017,,,,67.4,,,29,,,-21,3.86,0.15,13.3,65
"October 14, 2018 / 4:40pm",Axe Avenge 2017,,,,68.3,,,30,,,-33,3.91,0.15,12.6,65
"October 14, 2018 / 4:39pm",Axe Avenge 2017,,,,58.8,,,26,,,-41,2.86,0.15,11.7,53
